time,E,weather type,temperature,visibility,air pressure,wind_speed,wind_angle,speed,payload,altitude,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0,0,3,23.9,16.1,1014,0.699999988,241,12,500,100,0.016205223,0.01602057,-0.763768733,0.645087719,0.010973685,-0.005806517,-0.01725981,0.003394911,-0.00027046,-0.003636242,-0.037969566,-0.440996274,-9.795008909
0.1,0,3,23.9,16.1,1014,0.800000012,239,12,500,100,0.016204458,0.016014116,-0.763768613,0.645088017,0.007303352,-0.008567039,-0.017681498,0.001465468,-9.39E-06,-0.004678961,-0.036862935,-0.452271788,-9.79586611
0.3,0,3,23.9,16.1,1014,0.899999976,241,12,500,100,0.016204895,0.016020149,-0.763768554,0.645087957,0.008562009,-0.005990986,-0.017872097,0.002036848,-0.000573469,0.003693095,-0.037615654,-0.454490807,-9.796748455
0.4,0.074813549,3,23.9,16.1,1014,0.899999976,242,12,500,100,0.016204996,0.016021285,-0.763767958,0.645088553,0.008468287,-0.006622279,-0.017415977,-0.000131937,0.001478102,0.005891846,-0.03864058,-0.438775136,-9.795081414
0.6,0.112280057,3,23.9,16.1,1014,0.800000012,240,12,500,100,0.016209032,0.016021514,-0.76376766,0.645088792,0.009478687,-0.007648466,-0.017707365,-0.003604321,-0.000918839,-0.003200489,-0.037653312,-0.439109012,-9.795385469
0.7,0.261986782,3,23.9,16.1,1014,0.800000012,238,12,500,100,0.016203931,0.016013831,-0.763766527,0.645090401,0.003684864,-0.009662707,-0.01803641,-0.004764544,-0.002073041,-0.00733749,-0.034968282,-0.452492119,-9.797013334
0.9,0.336840149,3,23.9,16.1,1014,0.800000012,241,12,500,100,0.016203931,0.016013831,-0.763766527,0.645090401,0.004347753,-0.010127906,-0.017953299,0.000153146,-0.000889844,0.000296557,-0.037803215,-0.447639039,-9.796091813
1,1.122920003,3,23.9,16.1,1014,0.800000012,243,12,500,100,0.016215084,0.016016012,-0.763763845,0.645093381,0.008295812,-0.014405265,-0.022307885,0.001079214,-0.000217653,-0.001419604,-0.039359609,-0.450865606,-9.795274372
1.21,0.679222026,3,23.9,16.1,1014,0.800000012,258,12,500,100,0.016215084,0.016016012,-0.763763845,0.645093381,0.00833701,-0.014580893,-0.02208774,0.000388179,-0.001720835,-0.00033585,-0.036927227,-0.452790765,-9.795971945
1.3,1.216237808,3,23.9,16.1,1014,0.699999988,256,12,500,100,0.016208816,0.016018661,-0.763763905,0.645093381,0.006472856,-0.011212993,-0.026562684,0.006621454,9.88E-05,0.003893783,-0.037689695,-0.438479303,-9.794597265
