time,E,weather type,temperature,visibility,air pressure,wind_speed,wind_angle,speed,payload,altitude,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0,0,3,21.1,16.1,1009,1.799999952,192,12,250,100,0.001688011,-0.004645765,-0.710119367,0.704064012,-0.047504234,0.07065063,0.18917399,0.089771278,-0.01551164,0.009737294,0.146123865,0.098317149,-10.51356973
0.08,56.07297347,3,21.1,16.1,1009,1.899999976,192,12,250,100,-0.000583717,-0.005020968,-0.708208323,0.705985487,-0.056434976,0.073576121,0.369917841,-0.038981695,0.069896668,-0.138948381,0.116021275,0.126739742,-11.51524923
0.28,217.6365402,3,21.1,16.1,1009,2,199,12,250,100,0.002891743,-0.007968041,-0.703620613,0.710525393,-0.049893715,0.102947439,0.759281433,0.106951199,0.018512191,-0.049941938,0.095353442,0.071175698,-11.65215243
0.39,315.4072487,3,21.1,16.1,1009,2.099999905,201,12,250,100,0.006807154,-0.006583279,-0.701393068,0.712711811,-0.053281149,0.119077096,1.013857751,0.104456343,0.024013447,0.016822353,0.204866446,-0.103457491,-12.24232477
0.59,484.6487943,3,21.1,16.1,1009,2.099999905,210,12,250,100,0.008855473,-0.010925866,-0.697855949,0.716100097,-0.078715997,0.153911286,1.51298966,-0.050327871,0.016393302,-0.010155564,0.390160398,0.064167673,-12.30322937
0.7,584.5364677,3,21.1,16.1,1009,2.099999905,214,12,250,100,0.007898875,-0.010927345,-0.697091818,0.716855109,-0.07706882,0.165039114,1.751666553,-0.01236644,0.033441812,-0.010430355,0.299495756,0.077412302,-12.4300543
0.89,741.6079867,3,21.1,16.1,1009,2.299999952,227,12,250,100,0.010151451,-0.00895262,-0.696969807,0.716972828,-0.064801429,0.172523773,2.015462448,0.051462948,0.058024514,0.060688559,0.244684633,0.102093774,-12.41777398
0.99,830.133621,3,21.1,16.1,1009,2.299999952,230,12,250,100,0.016633922,-0.003311244,-0.697669983,0.716218531,-0.062517476,0.216889699,2.517529327,0.078338794,-0.04248016,0.09612231,0.391186,0.00310118,-12.46137784
1.18,903.7523356,3,21.1,16.1,1009,2.200000048,239,12,250,100,0.014450362,0.004025355,-0.700291514,0.7136994,-0.041767423,0.227420844,2.991317336,0.082949527,-0.049378835,0.03150069,0.383194866,0.1980849,-12.36740957
1.29,784.2155858,3,21.1,16.1,1009,2.299999952,241,12,250,100,0.013718505,0.006528961,-0.702078223,0.711937845,-0.021230842,0.221028746,3.190804811,0.052995209,-0.009319586,0.0162935,0.312292625,0.161069668,-11.80921098
1.49,981.5893954,3,21.1,16.1,1009,2.5,246,12,250,100,0.0136534,-0.000969549,-0.705787361,0.708291471,0.03048589,0.231859214,3.280981156,-0.030298917,0.176402166,-0.007535895,0.243882614,0.044730204,-10.87341557
1.59,1092.771922,3,21.1,16.1,1009,2.599999905,248,12,250,100,0.015966523,-0.007616783,-0.706679165,0.707313001,0.072765161,0.264417028,3.312503425,-0.066790588,0.126607448,-0.011215881,0.261454831,0.046037034,-10.22774029
1.79,1153.32342,3,21.1,16.1,1009,2.599999905,246,12,250,100,0.018506281,-0.01404383,-0.705897331,0.707933068,0.114690054,0.330862702,3.385894812,-0.022284027,-0.00782421,-0.060635008,0.307287226,0.133556198,-10.27890343
