time,E,weather type,temperature,visibility,air pressure,wind_speed,wind_angle,speed,payload,altitude,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0,0,2,25.6,16.1,1006,0.5,173,10,500,75,0.006987139,0.015362753,-0.745412111,0.666390359,0.00170527,0.005531044,0.015843453,0.001422448,-0.000472618,0.008880282,-0.130989617,-0.310032603,-9.806378819
0.2,-0.47776967,2,25.6,16.1,1006,0.5,169,10,500,75,0.006980794,0.015376291,-0.745408535,0.666394055,0.007577349,0.0079632,0.016208135,0.003515245,0.001519835,0.003661932,-0.135635249,-0.296469786,-9.804148107
0.29,-0.51965246,2,25.6,16.1,1006,0.400000006,165,10,500,75,0.006962389,0.015378986,-0.745400667,0.666402936,0.00689536,0.008270062,0.016814726,-0.005775276,-0.000982854,-0.006573554,-0.134301115,-0.301050421,-9.806908577
0.49,-1.073044769,2,25.6,16.1,1006,0.400000006,158,10,500,75,0.006988199,0.015385981,-0.745394289,0.666409612,0.007902845,0.009596877,0.017100199,0.000218377,3.27E-05,0.00306665,-0.134946611,-0.302663705,-9.80569528
0.59,-1.409631961,2,25.6,16.1,1006,0.400000006,155,10,500,75,0.006987597,0.015385695,-0.745395958,0.666407824,0.007841233,0.009689109,0.017564308,-0.002535722,0.000772363,-0.004743733,-0.135738562,-0.297353592,-9.803984969
0.79,-1.258567262,2,25.6,16.1,1006,0.400000006,152,10,500,75,0.006997848,0.01537816,-0.745394468,0.666409552,0.009223014,0.001111831,0.011883355,-0.005841806,-0.000934882,-0.007635448,-0.132806667,-0.309415832,-9.807485113
0.89,-1.771286183,2,25.6,16.1,1006,0.400000006,150,10,500,75,0.006993373,0.015384727,-0.745396554,0.666407108,0.009403456,0.006095307,0.012944665,0.003413317,0.002182554,0.002333635,-0.133964151,-0.305116465,-9.805798191
1.1,-1.971095539,2,25.6,16.1,1006,0.400000006,149,10,500,75,0.006992995,0.015384743,-0.745398819,0.666404605,0.008920958,0.006271589,0.013950461,-0.001213373,0.000525732,-0.005111984,-0.133598179,-0.306629085,-9.806877587
1.2,-2.627733207,2,25.6,16.1,1006,0.400000006,149,10,500,75,0.006991491,0.015379999,-0.745398521,0.666405082,0.006490545,0.004094974,0.010989361,0.002172668,-0.000558954,0.006434132,-0.133103861,-0.30908678,-9.806501611
1.39,-3.043638839,2,25.6,16.1,1006,0.400000006,150,10,500,75,0.006990622,0.015385112,-0.74540031,0.666402936,0.007330457,0.006805444,0.009376403,0.003174665,0.000486395,-0.001477719,-0.135503001,-0.300035655,-9.805849646
1.49,-3.856192409,2,25.6,16.1,1006,0.5,150,10,500,75,0.006990622,0.015385112,-0.74540031,0.666402936,0.007044024,0.006886322,0.009827641,0.001009199,-0.000887501,0.00292867,-0.132060635,-0.309309485,-9.806583472
1.69,-4.038163202,2,25.6,16.1,1006,0.5,152,10,500,75,0.006992402,0.015391576,-0.745401919,0.666400909,0.011466001,0.008820293,0.009139686,0.001471175,-0.004561577,0.007485387,-0.135628351,-0.296166881,-9.804994199
1.79,-3.91950613,2,25.6,16.1,1006,0.5,155,10,500,75,0.006992402,0.015391576,-0.745401919,0.666400909,0.010786869,0.009078796,0.009765689,-0.003634735,-0.000832203,-0.002934672,-0.134508801,-0.303420791,-9.806574116
1.99,-5.150216707,2,25.6,16.1,1006,0.600000024,164,10,500,75,0.006996117,0.015381309,-0.745404482,0.666398287,0.00757241,0.002232654,0.00799433,0.002524442,8.61E-05,0.005204136,-0.135607365,-0.298647819,-9.804583139
2.09,-4.57709316,2,25.6,16.1,1006,0.600000024,164,10,500,75,0.006995399,0.015381095,-0.745406747,0.666395843,0.006998891,0.002469435,0.008457155,-0.005071817,-0.002139112,-0.004677143,-0.135478516,-0.29800996,-9.804671432
2.3,-4.579542073,2,25.6,16.1,1006,0.699999988,167,10,500,75,0.006989514,0.015380916,-0.74540782,0.666394711,0.004279242,0.004726164,0.011226823,-9.87E-05,-0.001339298,0.001900787,-0.134439411,-0.304551862,-9.805741473
2.4,-4.779130534,2,25.6,16.1,1006,0.699999988,166,10,500,75,0.006993449,0.015381879,-0.745408833,0.666393459,0.005904071,0.003647159,0.009580632,-0.00091818,0.000607622,-0.005199422,-0.136338294,-0.297662417,-9.804723473
2.59,-5.672942333,2,25.6,16.1,1006,0.699999988,167,10,500,75,0.006992905,0.015381788,-0.745411038,0.666391015,0.005588295,0.00382851,0.010578981,-0.00234653,0.002945225,-0.005794338,-0.131032841,-0.309407134,-9.806058392
2.7,-6.450535765,2,25.6,16.1,1006,0.699999988,165,10,500,75,0.006998359,0.0153858,-0.745411038,0.666390896,0.011280925,0.003080062,0.009020397,0.002060238,0.002145179,0.000360191,-0.135189563,-0.302615593,-9.805820995
2.89,-6.90308112,2,25.6,16.1,1006,0.800000012,163,10,500,75,0.006991925,0.015384393,-0.745413125,0.666388631,0.006242406,0.005654961,0.007677508,-0.002915148,0.00133691,-0.007219221,-0.132531674,-0.308341771,-9.807747653
