time,E,weather type,temperature,visibility,air pressure,wind_speed,wind_angle,speed,payload,altitude,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0,0,3,25.2,16.1,1011,1.100000024,137,12,250,100,0.021133838,0.015869055,0.921515644,0.387441069,-0.031093229,-0.013605728,0.021090667,-0.005049687,-0.001879474,-0.001400227,0.415281169,0.218571406,-9.802883939
0.2,-0.287131723,3,25.2,16.1,1011,1.100000024,136,12,250,100,0.02109886,0.015882334,0.921519339,0.387433589,-0.021100635,-0.015299238,0.020694978,-0.001136106,0.001283636,-0.002687641,0.415240787,0.226743219,-9.803628874
0.31,-0.381400949,3,25.2,16.1,1011,1.200000048,135,12,250,100,0.021095639,0.015899116,0.921525061,0.387419373,-0.029726132,-0.021095195,0.022532732,-0.006554026,-0.001005156,-0.006082258,0.418036304,0.207407281,-9.804511803
0.5,-0.512610781,3,25.2,16.1,1011,1.200000048,134,12,250,100,0.021095227,0.015883537,0.921528041,0.387412995,-0.028485816,-0.017091924,0.022086552,0.006388054,0.002947008,0.005126423,0.417932882,0.208960886,-9.804607113
0.6,-0.615222527,3,25.2,16.1,1011,1.200000048,136,12,250,100,0.021030808,0.015878078,0.921536326,0.387397051,-0.019007958,-0.013043344,0.021282258,0.006182759,0.004568293,0.006325303,0.412835644,0.22370274,-9.803525378
0.8,-0.820456015,3,25.2,16.1,1011,1.299999952,136,12,250,100,0.021058967,0.015882179,0.921540439,0.387385607,-0.024367104,-0.015745805,0.022512126,-0.007171149,-0.000996963,0.000120939,0.41562155,0.217282314,-9.805733287
0.91,-0.373126283,3,25.2,16.1,1011,1.299999952,131,12,250,100,0.021013012,0.015879767,0.921548545,0.387368768,-0.023709519,-0.010002985,0.021963113,-0.002557789,0.002006285,0.000914271,0.415182607,0.217930021,-9.80419313
1.1,-1.128017494,3,25.2,16.1,1011,1.399999976,132,12,250,100,0.02099885,0.015883747,0.921547592,0.387371778,-0.027302195,-0.012928478,0.022909342,0.001247655,-0.001069229,0.000178046,0.414545553,0.224503023,-9.803492634
1.2,-1.230504842,3,25.2,16.1,1011,1.399999976,131,12,250,100,0.02098136,0.015872037,0.921553969,0.38735792,-0.024128334,-0.010486288,0.019076565,-0.001865854,-0.000551828,-0.00343627,0.417321263,0.207936143,-9.803869194
1.4,-0.287131733,3,25.2,16.1,1011,1.399999976,129,12,250,100,0.020977866,0.015863677,0.921560884,0.387342006,-0.027270474,-0.013277854,0.019922243,0.002869962,-0.000416423,0.004983697,0.418026693,0.207192925,-9.804207163
1.5,-0.923057842,3,25.2,16.1,1011,1.399999976,128,12,250,100,0.020917714,0.015882924,0.921575308,0.387310237,-0.023816422,-0.014605464,0.020651027,0.003314861,0.001521766,0.002988732,0.413931193,0.230196859,-9.802563511
1.7,-1.742622815,3,25.2,16.1,1011,1.399999976,128,12,250,100,0.020898568,0.015872089,0.921576679,0.387308449,-0.017965587,-0.00867357,0.016000439,-0.004449489,0.000562543,-0.008101616,0.414406134,0.228677405,-9.803199103
1.8,-1.844682042,3,25.2,16.1,1011,1.5,129,12,250,100,0.020909166,0.015886651,0.921584427,0.387289047,-0.02552608,-0.014108919,0.01798961,-0.00974918,-0.000820191,-0.00693198,0.41820496,0.209004886,-9.805129854
2,-1.229967188,3,25.2,16.1,1011,1.600000024,128,12,250,100,0.020884259,0.015890764,0.921589136,0.387278676,-0.017048589,-0.008770591,0.013779873,0.004474196,0.004590453,0.003929997,0.416749844,0.21121031,-9.805273696
2.1,-1.721870507,3,25.2,16.1,1011,1.700000048,130,12,250,100,0.020874523,0.015894936,0.921591699,0.387273043,-0.022086851,-0.011320885,0.01491972,-0.003221942,0.002875503,-0.00833765,0.412424658,0.226502405,-9.803293244
2.3,-2.358696625,3,25.2,16.1,1011,1.799999952,130,12,250,100,0.020900622,0.015912315,0.921591699,0.387271076,-0.020231624,-0.014441552,0.013723031,-0.00877238,0.0007483,-0.005992575,0.414283305,0.230417664,-9.80191447
2.4,-1.476677422,3,25.2,16.1,1011,1.899999976,135,12,250,100,0.020864589,0.015913798,0.921591997,0.38727203,-0.017213247,-0.010711637,0.012433309,-0.001160274,-0.002955569,-0.003988482,0.418186724,0.207013873,-9.804338141
2.6,-2.132357361,3,25.2,16.1,1011,1.899999976,135,12,250,100,0.02084663,0.015922895,0.921599865,0.387253881,-0.020351103,-0.013404073,0.013293412,0.001291473,0.001006962,0.005798526,0.4162779,0.208388553,-9.804459178
