time,E,weather type,temperature,visibility,air pressure,wind_speed,wind_angle,speed,payload,altitude,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0,0,2,20.7,16.1,1022,0.800000012,171,4,250,75,0.014050827,0.000113071,-0.999000669,0.042429391,-0.016500447,-0.011533951,0.019100011,0.005587034,0.004735414,0.009351569,-0.014272296,-0.323819863,-9.809301842
0.21,-0.559879696,2,20.7,16.1,1022,0.800000012,167,4,250,75,0.014028063,0.000105955,-0.999000609,0.042440105,-0.017551048,-0.01265894,0.018700624,0.005591136,0.001074653,0.000634303,-0.019612299,-0.309390542,-9.807089256
0.3,-0.861227954,2,20.7,16.1,1022,0.800000012,163,4,250,75,0.014048828,0.0001277,-0.999000132,0.042441931,-0.016491687,-0.00467848,0.012725879,0.003972715,-0.000297789,0.004710351,-0.012730331,-0.324799271,-9.809626948
0.5,-1.230564518,2,20.7,16.1,1022,0.800000012,166,4,250,75,0.014041008,0.000119843,-0.999000549,0.042436711,-0.021042802,-0.007088605,0.013568468,-0.005327067,-0.006194359,-0.006745163,-0.020166695,-0.30200286,-9.806168904
0.6,-1.72270676,2,20.7,16.1,1022,0.800000012,169,4,250,75,0.014050165,0.000123837,-0.999000371,0.042435866,-0.019593965,-0.007772465,0.014989838,-0.002514526,-0.00148996,0.002554598,-0.018059729,-0.318396168,-9.809658523
0.8,-2.460890088,2,20.7,16.1,1022,0.899999976,167,4,250,75,0.014056889,0.00014345,-0.999000192,0.042439345,-0.017161437,-0.006037084,0.012077444,0.006992564,0.002908671,0.011434609,-0.019203001,-0.30300436,-9.804328201
0.9,-2.39948441,2,20.7,16.1,1022,0.899999976,163,4,250,75,0.014031672,0.000125636,-0.999000549,0.042439222,-0.022308247,-0.008226263,0.01284618,-0.008378373,-0.006053794,-0.010469677,-0.021329677,-0.30351886,-9.806203988
1.1,-3.157682375,2,20.7,16.1,1022,0.800000012,165,4,250,75,0.01409551,0.00015025,-0.998999298,0.042446859,-0.008516779,-0.006866252,0.014402789,-0.004094804,0.000567679,0.006410691,-0.016018749,-0.314713299,-9.806520322
1.2,-3.691514495,2,20.7,16.1,1022,0.800000012,161,4,250,75,0.014098275,0.000134988,-0.998999238,0.042448159,-0.012708126,-0.009306843,0.015115046,-0.008605941,-0.002999343,-0.011113042,-0.019371766,-0.298254301,-9.805762523
1.41,-3.470360542,2,20.7,16.1,1022,0.800000012,160,4,250,75,0.014103482,0.000133753,-0.998998523,0.04246328,-0.017908693,-0.010048118,0.015295835,-0.005272299,-0.001775426,-0.000125387,-0.013467776,-0.319113877,-9.80726935
1.51,-3.716304844,2,20.7,16.1,1022,0.800000012,159,4,250,75,0.014114467,0.000129276,-0.998997986,0.042472672,-0.02109555,-0.012590996,0.015929551,-0.001462298,-0.00135127,-0.007043161,-0.018669618,-0.301081832,-9.805360234
1.7,-5.229645535,2,20.7,16.1,1022,0.800000012,159,4,250,75,0.014098916,0.000130375,-0.998997152,0.042496499,-0.022948747,-0.011806905,0.014080624,-0.006444253,-0.004501673,-0.005994799,-0.014668153,-0.325302863,-9.80987487
1.81,-4.454859986,2,20.7,16.1,1022,0.800000012,162,4,250,75,0.014117499,0.000160712,-0.99899739,0.04248355,-0.020150877,-0.005904497,0.010114333,0.004406438,-0.004067622,-0.000973409,-0.016856461,-0.305941599,-9.806230885
2,-4.511851046,2,20.7,16.1,1022,0.800000012,163,4,250,75,0.014105403,0.000159815,-0.998996794,0.042502936,-0.023452543,-0.008364412,0.010604975,0.003035826,0.006214784,0.009050516,-0.012403121,-0.326136785,-9.808124798
2.1,-5.598524922,2,20.7,16.1,1022,0.800000012,165,4,250,75,0.014121366,0.000148973,-0.998997211,0.0424885,-0.020260802,-0.00977971,0.008707067,0.007672241,0.00326751,0.003666544,-0.018165736,-0.316177661,-9.806702755
2.3,-6.130527367,2,20.7,16.1,1022,0.800000012,165,4,250,75,0.014108993,0.000134384,-0.998996735,0.042502616,-0.024600862,-0.011919264,0.009298418,-0.003013436,0.001551911,0.003419418,-0.01615322,-0.320820314,-9.8072904
2.41,-5.928154111,2,20.7,16.1,1022,0.800000012,164,4,250,75,0.014117285,0.000131585,-0.998997092,0.04249201,-0.017467103,-0.00955802,0.00805851,0.006966431,0.003601977,0.010157772,-0.015000101,-0.323605343,-9.807666376
2.6,-6.929824568,2,20.7,16.1,1022,0.800000012,163,4,250,75,0.014172562,0.000122686,-0.998996675,0.042483728,-0.019405576,-0.014443298,0.007556736,0.001858591,-0.002032823,-0.004006156,-0.019431332,-0.313066577,-9.807023183
2.7,-14.38921819,2,20.7,16.1,1022,0.800000012,165,4,250,75,0.014154948,0.000113641,-0.998996198,0.042500295,-0.02252465,-0.016935213,0.008156908,0.005520021,0.000373818,0.007806162,-0.015210469,-0.325009369,-9.808138831
2.91,-14.91262896,2,20.7,16.1,1022,0.800000012,166,4,250,75,0.014172421,0.0001156,-0.998996496,0.042487975,-0.020923041,-0.013161283,0.007608961,0.003926398,0.000140643,-2.98E-05,-0.020195036,-0.307779671,-9.807903188
3.01,-15.41984616,2,20.7,16.1,1022,0.899999976,171,4,250,75,0.014162673,0.000121756,-0.99899596,0.042503849,-0.024353474,-0.015231881,0.008192364,-0.000904655,0.003742024,0.008428514,-0.013868504,-0.325226849,-9.808566263
3.2,-7.874848216,2,20.7,16.1,1022,0.899999976,170,4,250,75,0.014151993,0.000122163,-0.998997033,0.042483028,-0.021577587,-0.015419782,0.006983368,0.005417073,-4.71E-06,0.003597357,-0.020008281,-0.302829619,-9.805729778
3.3,-9.473047126,2,20.7,16.1,1022,0.899999976,171,4,250,75,0.014179743,0.000136759,-0.998996437,0.042485364,-0.017069266,-0.015981659,0.005742949,-0.000586856,0.003161279,0.004333059,-0.015767722,-0.321611808,-9.808280919
3.5,-7.892672571,2,20.7,16.1,1022,0.899999976,170,4,250,75,0.014181629,0.000122011,-0.998996854,0.042476732,-0.020841957,-0.018440905,0.006369415,-0.003962493,-0.002275258,-0.01062091,-0.019093632,-0.300543139,-9.805002385
3.6,3.689543174,2,20.7,16.1,1022,0.899999976,172,4,250,75,0.014196503,0.000158761,-0.998995662,0.042499915,-0.018193553,-0.013103205,0.006295447,-0.008643229,-0.002455325,-0.005049895,-0.018000712,-0.316750104,-9.807308527
3.8,-7.012856152,2,20.7,16.1,1022,0.899999976,171,4,250,75,0.014229811,0.000182195,-0.998995125,0.042499285,-0.009962371,-0.008060085,0.005869028,0.009060549,0.005904724,0.010248807,-0.018618485,-0.302869618,-9.805697034
3.9,-7.193910087,2,20.7,16.1,1022,0.899999976,172,4,250,75,0.014222126,0.000184844,-0.998994827,0.042509999,-0.014505857,-0.010256915,0.006564417,-0.008494101,-0.004974807,-0.00436237,-0.020938754,-0.308731561,-9.806295789
4.11,-2.527582572,2,20.7,16.1,1022,0.899999976,173,4,250,75,0.014240894,0.000185121,-0.998995423,0.042490717,-0.01810102,-0.01461025,0.005501398,0.002282872,6.29E-05,0.007455589,-0.01631163,-0.310001759,-9.806364786
4.21,-5.177910541,2,20.7,16.1,1022,0.899999976,176,4,250,75,0.014233112,0.000173666,-0.998995721,0.042485319,-0.022144904,-0.01691916,0.006219591,-0.007826774,-0.003067455,-0.012196185,-0.020791216,-0.300609578,-9.805806962
4.4,17.13587896,2,20.7,16.1,1022,0.899999976,176,4,250,75,0.014247415,0.000204951,-0.998994887,0.042501055,-0.018996501,-0.011306951,0.005426459,-0.005033327,-0.001994395,0.001986743,-0.01543331,-0.319764599,-9.807933009
4.5,-1.84512997,2,20.7,16.1,1022,0.899999976,175,4,250,75,0.014270074,0.000207839,-0.99899447,0.042502653,-0.02194571,-0.013705932,0.006022733,-0.002581591,-0.00045339,-0.008169486,-0.019429692,-0.301279486,-9.805634469
4.7,-5.78028421,2,20.7,16.1,1022,0.800000012,174,4,250,75,0.014260859,0.000195828,-0.998992741,0.04254603,-0.02328883,-0.015274044,0.005979096,-0.005498691,-0.001759588,-0.004899241,-0.012880555,-0.324687516,-9.809664955
4.8,-2.950630934,2,20.7,16.1,1022,0.800000012,175,4,250,75,0.0143163,0.000220675,-0.998991966,0.042544924,-0.014240259,-0.010257382,0.001558982,0.002644413,-0.000415108,-0.003289259,-0.01751729,-0.307283937,-9.805691772
